2020-11-24 06:16:49 [INFO]:    Epoch       Batch       box      conf        id     total  nTargets      time
================================================================================
dataset summary
OrderedDict([('mot17', 547.0)])
total # identities: 548
start index
OrderedDict([('mot17', 0)])
================================================================================
2020-11-24 06:22:43 [INFO]:     0/29   3520/5315    0.0526     0.316      12.3      9.82      20.4    0.0792
2020-11-24 06:22:47 [INFO]:     0/29   3560/5315    0.0524     0.313      12.3      9.65      20.4    0.0953
2020-11-24 06:22:51 [INFO]:     0/29   3600/5315    0.0522     0.311      12.3      9.48      20.4     0.155
2020-11-24 06:22:56 [INFO]:     0/29   3640/5315    0.0522     0.309      12.3      9.33      20.4     0.103
2020-11-24 06:23:00 [INFO]:     0/29   3680/5315     0.052     0.307      12.3      9.16      20.4    0.0957
2020-11-24 06:23:04 [INFO]:     0/29   3720/5315    0.0518     0.305      12.3      9.01      20.4    0.0757
2020-11-24 06:23:08 [INFO]:     0/29   3760/5315    0.0515     0.303      12.3      8.85      20.3    0.0764
2020-11-24 06:23:13 [INFO]:     0/29   3800/5315    0.0513     0.301      12.2      8.69      20.4    0.0864
2020-11-24 06:23:17 [INFO]:     0/29   3840/5315    0.0511     0.299      12.2      8.54      20.4    0.0803
2020-11-24 06:23:21 [INFO]:     0/29   3880/5315    0.0509     0.297      12.2       8.4      20.4     0.116
2020-11-24 06:23:26 [INFO]:     0/29   3920/5315    0.0507     0.295      12.2      8.25      20.4    0.0967
2020-11-24 06:23:30 [INFO]:     0/29   3960/5315    0.0505     0.293      12.2      8.11      20.3    0.0774
2020-11-24 06:23:34 [INFO]:     0/29   4000/5315    0.0503     0.292      12.2      7.97      20.3    0.0933
2020-11-24 06:23:38 [INFO]:     0/29   4040/5315    0.0501      0.29      12.2      7.83      20.3    0.0725
2020-11-24 06:23:43 [INFO]:     0/29   4080/5315    0.0499     0.288      12.2      7.69      20.3    0.0869
2020-11-24 06:23:47 [INFO]:     0/29   4120/5315    0.0497     0.286      12.1      7.56      20.3     0.138
2020-11-24 06:23:50 [INFO]:     0/29   4160/5315    0.0495     0.284      12.1      7.42      20.3     0.127
2020-11-24 06:23:55 [INFO]:     0/29   4200/5315    0.0493     0.282      12.1      7.29      20.2    0.0932
2020-11-24 06:23:59 [INFO]:     0/29   4240/5315    0.0491     0.281      12.1      7.17      20.2     0.134
2020-11-24 06:24:04 [INFO]:     0/29   4280/5315     0.049     0.279      12.1      7.05      20.2    0.0836
2020-11-24 06:24:08 [INFO]:     0/29   4320/5315    0.0489     0.278      12.1      6.94      20.2     0.111
2020-11-24 06:24:12 [INFO]:     0/29   4360/5315    0.0487     0.276      12.1      6.82      20.2    0.0776
2020-11-24 06:24:16 [INFO]:     0/29   4400/5315    0.0485     0.274      12.1       6.7      20.2    0.0995
2020-11-24 06:24:21 [INFO]:     0/29   4440/5315    0.0484     0.273        12      6.59      20.2    0.0877
2020-11-24 06:24:25 [INFO]:     0/29   4480/5315    0.0482     0.271        12      6.47      20.2     0.128
2020-11-24 06:24:29 [INFO]:     0/29   4520/5315     0.048      0.27        12      6.36      20.2     0.107
2020-11-24 06:24:33 [INFO]:     0/29   4560/5315    0.0479     0.268        12      6.25      20.2     0.124
2020-11-24 06:24:38 [INFO]:     0/29   4600/5315    0.0477     0.267        12      6.14      20.3    0.0885
2020-11-24 06:24:42 [INFO]:     0/29   4640/5315    0.0476     0.266        12      6.04      20.3       0.1
2020-11-24 06:24:46 [INFO]:     0/29   4680/5315    0.0474     0.264        12      5.94      20.3     0.095
2020-11-24 06:24:50 [INFO]:     0/29   4720/5315    0.0473     0.263        12      5.84      20.3      0.11
2020-11-24 06:24:54 [INFO]:     0/29   4760/5315    0.0471     0.262        12      5.74      20.3    0.0984
2020-11-24 06:24:59 [INFO]:     0/29   4800/5315     0.047      0.26        12      5.64      20.3    0.0975
2020-11-24 06:25:03 [INFO]:     0/29   4840/5315    0.0468     0.259      11.9      5.54      20.2    0.0948
2020-11-24 06:25:07 [INFO]:     0/29   4880/5315    0.0467     0.258      11.9      5.45      20.2     0.111
2020-11-24 06:25:12 [INFO]:     0/29   4920/5315    0.0465     0.256      11.9      5.35      20.2     0.122
2020-11-24 06:25:16 [INFO]:     0/29   4960/5315    0.0463     0.255      11.9      5.25      20.2     0.122
2020-11-24 06:25:20 [INFO]:     0/29   5000/5315    0.0462     0.254      11.9      5.16      20.3    0.0761
2020-11-24 06:25:24 [INFO]:     0/29   5040/5315    0.0461     0.253      11.9      5.07      20.2     0.072
2020-11-24 06:25:28 [INFO]:     0/29   5080/5315    0.0459     0.252      11.9      4.99      20.2    0.0949
2020-11-24 06:25:33 [INFO]:     0/29   5120/5315    0.0458     0.251      11.9       4.9      20.2     0.147
2020-11-24 06:25:37 [INFO]:     0/29   5160/5315    0.0457     0.249      11.9      4.81      20.2    0.0971
2020-11-24 06:25:41 [INFO]:     0/29   5200/5315    0.0455     0.248      11.9      4.73      20.2    0.0751
2020-11-24 06:25:46 [INFO]:     0/29   5240/5315    0.0454     0.247      11.9      4.65      20.2     0.116
2020-11-24 06:25:50 [INFO]:     0/29   5280/5315    0.0453     0.246      11.9      4.56      20.2      0.17
2020-11-24 06:26:00 [INFO]:    Epoch       Batch       box      conf        id     total  nTargets      time
2020-11-24 06:26:00 [INFO]:     1/29      0/5315    0.0294    0.0816      15.7     -5.68         9      6.42
